"","Matlab","R","Excel","RStudio","ggplot2","Stata","Sweave_knitr","SPSS","lattice","Github","LaTeX","Google Drive","Dropbox","SQL","Shell","C_CPP","Python","Regular Expression","XML","Web"
"Matlab",0,8,5,8,5,2,0,11,0,2,2,0,0,0,2,20,4,0,6,1
"R",4,0,1,14,6,2,2,1,1,1,3,3,4,4,0,1,0,1,1,0
"Excel",2,1,0,1,1,4,2,0,1,3,0,12,11,7,2,0,2,1,3,5
"RStudio",4,14,1,0,8,3,2,3,1,2,3,3,6,3,0,2,0,1,2,0
"ggplot2",6,18,3,21,0,3,14,6,7,21,24,18,16,16,14,6,9,12,6,9
"Stata",5,10,20,13,5,0,3,21,3,0,4,6,2,6,0,2,14,0,0,0
"Sweave_knitr",0,21,20,24,50,6,0,32,31,39,60,11,19,29,31,13,0,29,21,22
"SPSS",30,7,0,17,15,27,21,0,12,0,7,0,0,0,0,26,0,0,0,0
"lattice",0,21,31,24,72,17,92,54,0,28,71,0,8,18,0,35,25,0,0,0
"Github",2,3,6,3,15,0,8,0,2,0,19,15,9,24,28,5,6,12,15,19
"LaTeX",2,9,0,8,23,2,16,3,6,25,0,15,2,12,25,2,9,0,6,11
"Google Drive",0,4,12,4,7,1,1,0,0,9,7,0,20,10,6,0,5,5,5,6
"Dropbox",0,6,13,7,8,1,2,0,0,6,1,23,0,14,6,0,2,7,4,6
"SQL",0,7,9,4,9,2,5,0,1,18,7,14,16,0,26,10,10,9,13,17
"Shell",2,0,4,0,11,0,7,0,0,30,20,11,10,36,0,10,17,23,19,27
"C_CPP",21,2,0,4,5,1,3,10,3,6,2,0,0,15,11,0,5,12,16,9
"Python",2,0,2,0,3,3,0,0,1,3,4,4,2,7,8,2,0,0,2,4
"Regular Expression",0,4,3,7,22,0,14,0,0,28,0,22,24,29,53,24,2,0,32,34
"XML",16,7,16,9,15,0,13,0,0,47,14,26,20,51,57,40,10,41,0,57
"Web",2,0,15,0,12,0,8,0,0,33,15,17,17,39,44,12,13,24,32,0
